"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
sex,about_you,,radio,"<div class=""rich-text-field-label""><p>What is your sex?<br /><br /><span style=""font-weight: normal;"">Indicate your sex assigned at birth.</span></p></div>","1, Female | 2, Male",,,,,,,y,,,,,
gender,about_you,,radio,"To which gender identity do you most identify? ","1, Woman | 2, Man | 3, Non-binary | 4, Other | 5, Prefer not to say",,,,,,,,,,,,
prov_terr,about_you,,radio,"Select the province or territory in which you currently live.","1, Alberta | 2, British Columbia | 3, Manitoba | 4, New Brunswick | 5, Newfoundland and Labrador | 6, Northwest Territories | 7, Nova Scotia | 8, Nunavut | 9, Ontario | 10, Prince Edward Island | 11, Quebec | 12, Saskatchewan | 13, Yukon | 14, I do not live in Canada",,,,,,,y,,,,,
education,about_you,,radio,"What is the highest level of education you completed?","1, Elementary school | 2, Middle school | 3, High school diploma | 4, College diploma or trade certificate | 5, University degree",,,,,,,y,,,,,
employment,about_you,,radio,"What is your employment status? ","0, Retired | 1, Full-time employment | 2, Part-time / seasonal employment | 3, Unemployed | 4, Not in workforce",,,,,,,y,,,,,
driving_freq,about_you,,radio,"How often do you drive?","0, I do not drive | 1, I drive less than one day per week | 2, I drive 1-3 days per week | 3, I drive 4-7 days per week",,,,,,,y,,,,,
income,about_you,,radio,"<div class=""rich-text-field-label""><p>Which category matches your annual <span style=""text-decoration: underline;"">household</span> income?</p></div>","1, $15 000 or less | 2, $15 000 to $30 000 | 3, $30 000 to $50 000 | 4, $50 000 to $80 000 | 5, $80 000 or more",,,,,,,,,,,,
liv_sit,about_you," ",checkbox,"<div class=""rich-text-field-label""><p>With whom do you currently live? <br /><br /><span style=""font-weight: normal;"">Select all that apply.</span></p></div>","1, I live alone. | 2, I live with my spouse or partner. | 3, I live with my children. | 4, I live with friends or other family members. | 5, Other",,,,,,,y,,,,," @NONEOFTHEABOVE=1,5"
oslo1,about_you,,radio,"<div class=""rich-text-field-label""><p>How many people are so close to you that you can count on them if you have great personal problems?</p></div>","1, None | 2, 1-2 | 3, 3-5 | 4, 5+",,,,,,,y,,,,,
oslo2,about_you,,radio,"How much interest and concern do people show in what you do? ","1, None | 2, Little | 3, Uncertain | 4, Some | 5, A lot",,,,,,,,,,,,
oslo3,about_you,,radio,"How easy is it to get practical help from neighbours if you should need it?","1, Very difficult | 2, Difficult | 3, Possible | 4, Easy | 5, Very easy",,,,,,,,,,,,
osss_3_score,about_you,,calc,"<div class=""rich-text-field-label""><p>OSSS-3 score</p> <p><em><span style=""font-weight: normal;"">Interpretation: </span></em><br /><em><span style=""font-weight: normal;"">3–8 poor social support</span></em><br /><em><span style=""font-weight: normal;"">9–11 moderate social support</span></em><br /><em><span style=""font-weight: normal;"">12–14 strong social support</span></em></p> <p><em><span style=""font-weight: normal;"">Bøen H, Dalgard OS, Bjertness E. The importance of social support in the associations between psychological distress and somatic health problems and socio-economic factors among older adults living at home: a cross sectional study. BioMed Central Geriatrics. 2012;12:27.</span></em></p></div>",[oslo1]+[oslo2]+[oslo3],,,,,,,,,,,," @HIDDEN-SURVEY"
gen_health,about_your_health,"The following questions relate to your general health.",checkbox,"<div class=""rich-text-field-label""><p>Rate your general health <span style=""text-decoration: underline;"">compared</span> to other people the same age as you.<br /><br /></p></div>","1, Poor | 2, Fair | 3, Good | 4, Very good | 5, Excellent",,,,,,,y,,,,," @NONEOFTHEABOVE=7"
sleep_health_con,about_your_health,,checkbox,"<div class=""rich-text-field-label""><p>Which of the following SLEEP conditions apply to you?</p> <p><span style=""font-weight: normal;"">Select all that apply.</span></p> <p> </p> <p>Insomnia:<span style=""font-weight: normal;"">   difficulty getting to sleep, staying asleep, or waking too early</span></p> <p><span style=""font-weight: normal;""><br /></span>Restless legs syndrome:<span style=""font-weight: normal;"">   experiencing the urge to move your legs due to an uncomfortable feeling usually close to bedtime or when in bed  </span></p> <p><span style=""font-weight: normal;""><br /></span>Sleep apnea:<span style=""font-weight: normal;"">    periodic pauses in breathing during sleep</span></p> <p> </p></div>","1, Insomnia | 2, Restless legs syndrome | 3, Sleep apnea | 9, Other | 0, None",,,,,,,y,,,,," @NONEOFTHEABOVE=0"
def_insomnia,about_your_health,,checkbox,"<div class=""rich-text-field-label""><p>When you have a problem with sleep, which of the following apply? <br /><br /><span style=""font-weight: normal;"">Select all that apply</span></p></div>","1, Difficulty falling asleep | 2, Difficulty staying asleep (waking up through the night) | 3, Waking up too early and not being able to get back to sleep",,,,,,"[sleep_health_con(1)] = '1' or [sleep_health_con(2)] = '1' or [sleep_health_con(3)] = '1' or [sleep_health_con(9)] = '1'",,,,,,
